Course Title,Course ID,City,University,State,Department Code,Course URL
Curiosity and Natural Inquiry,121,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/121-curiosity-and-natural-inquiry/
Causation,301,New Haven,Yale University,Connecticut,PHIL,http://www.koofers.com/yale-university/phil/301-causation/
Environmental ChemicalAnalysis,743,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/743-environmental-chemicalanalysis/
Hip Hop Music and Culture,210,New Haven,Yale University,Connecticut,CSSY,http://www.koofers.com/yale-university/cssy/210-hip-hop-music-and-culture/
BioculturalPerspGlobalHealth,341,New Haven,Yale University,Connecticut,INTS,http://www.koofers.com/yale-university/ints/341-bioculturalperspglobalhealth/
Readings Jain &BuddhistTexts,586,New Haven,Yale University,Connecticut,RLST,http://www.koofers.com/yale-university/rlst/586-readings-jain-buddhisttexts/
Intermediate French,121,New Haven,Yale University,Connecticut,FREN,http://www.koofers.com/yale-university/fren/121-intermediate-french/
The Borges Effect,912,New Haven,Yale University,Connecticut,SPAN,http://www.koofers.com/yale-university/span/912-the-borges-effect/
Crim Pro:Charging&Adjudic,20359,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/20359-crim-pro-charging-adjudic/
Survey of Greek Literature II,897,New Haven,Yale University,Connecticut,CLSS,http://www.koofers.com/yale-university/clss/897-survey-of-greek-literature-ii/
Intensive Senior Research,496,New Haven,Yale University,Connecticut,E&EB,http://www.koofers.com/yale-university/e-eb/496-intensive-senior-research/
American Communities,745,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/745-american-communities/
American Philosophy,260,New Haven,Yale University,Connecticut,PHIL,http://www.koofers.com/yale-university/phil/260-american-philosophy/
Elementary isiZulu II,620,New Haven,Yale University,Connecticut,ZULU,http://www.koofers.com/yale-university/zulu/620-elementary-isizulu-ii/
Pediatric Pharmacology,845,New Haven,Yale University,Connecticut,NURS,http://www.koofers.com/yale-university/nurs/845-pediatric-pharmacology/
Intro Sanskrit I,515,New Haven,Yale University,Connecticut,LING,http://www.koofers.com/yale-university/ling/515-elementary-sanskrit-i/
